2015地区名次,地区,客户, 2015数量 , 2015含税金额 , 2016数量 , 2016含税金额 
1,浙江省宁波市,宁波华津时代环保设备有限公司," 510,086 "," 49,959,592 "," 244,838 "," 22,066,736 "
1,浙江省宁波市,宁波美鹏电器有限公司," 18,645 "," 1,860,000 "," 4,753 "," 500,000 "
1,浙江省宁波市,宁波龙巍环境科技有限公司," 7,818 "," 838,156 "," 13,126 "," 1,493,413 "
1,浙江省宁波市,宁波澳成电器制造有限公司, 489 ," 54,556 "," 1,455 "," 159,685 "
1,浙江省宁波市,宁波轩畅电器有限公司, 400 ," 41,200 ",,
1,浙江省宁波市,依莱克顿（宁波）电器科技有限公司, 400 ," 38,800 ", 395 ," 38,315 "
1,浙江省宁波市,宁波市鄞州高桥路益五金配件厂, 120 ," 33,600 "," 1,272 "," 235,560 "
1,浙江省宁波市,宁波海田控股集团有限公司, 72 ," 7,416 ", 40 ," 4,400 "
1,浙江省宁波市,宁波金天水机电有限公司, 36 ," 4,368 ",,
1,浙江省宁波市,嘉善紫晶水环保设备有限公司, 30 ," 2,900 ",,
1,浙江省宁波市,宁波灏钻科技有限公司, 2 , 580 , 100 ," 13,800 "
1,浙江省宁波市,宁波康泉设备有限公司, 1 , 280 ,,
1,浙江省宁波市,宁波超程电器, 2 , 210 ,,
1,浙江省宁波市,宁波惠士康健康科技有限公司, 1 , 145 , 50 ," 6,250 "
1,浙江省宁波市,宁波海澳斯水处理设备有限公司,,, 1 , 355 
1,浙江省宁波市,宁波昊泽环保科技有限公司,,, 181 ," 39,705 "
1,浙江省宁波市,宁波锦隆电器有限公司,,, 120 ," 15,120 "
1,浙江省宁波市,宁波司迈环保科技有限公司,,," 1,368 "," 148,488 "
2,浙江省慈溪市,慈溪启哲电器厂（浙江办事处）," 203,646 "," 20,571,892 "," 80,040 "," 8,058,959 "
2,浙江省慈溪市,浙江沁园水处理科技有限公司," 56,532 "," 7,158,150 "," 34,628 "," 4,250,989 "
2,浙江省慈溪市,宁波鼎安电器有限公司," 37,246 "," 3,884,690 "," 14,450 "," 1,548,260 "
2,浙江省慈溪市,沁园集团股份有限公司," 18,040 "," 2,034,596 "," -1,243 "," -139,216 "
2,浙江省慈溪市,宁波沁园公共饮水设备有限公司," 7,600 "," 1,081,500 "," 1,900 "," 243,200 "
2,浙江省慈溪市,浙江润鑫电器有限公司," 6,099 "," 592,602 ", 897 ," 79,755 "
2,浙江省慈溪市,慈溪天利环保科技有限公司," 3,500 "," 342,500 ", 100 ," 9,000 "
2,浙江省慈溪市,宁波浪木饮水设备科技有限公司, 310 ," 83,700 "," 1,367 "," 365,500 "
2,浙江省慈溪市,宁波汇宁机电有限公司, 270 ," 34,560 ", 92 ," 12,250 "
2,浙江省慈溪市,宁波山点水电器有限公司, 30 ," 2,730 ",,
2,浙江省慈溪市,展慈金属, 1 , 185 ,,
2,浙江省慈溪市,慈溪市东楚电器有限公司,,, 100 ," 10,900 "
2,浙江省慈溪市,宁波美之净环保科技有限公司,,, 564 ," 56,136 "
2,浙江省慈溪市,宁波帅风电器制造有限公司,,," 20,240 "," 2,114,200 "
2,浙江省慈溪市,宁波万爱电器有限公司,,," 2,387 "," 250,000 "
2,浙江省慈溪市,浙江华晨环保有限公司,,," 12,028 "," 1,330,700 "
3,广东省深圳市,深圳市心义环保科技有限责任公司," 79,488 "," 8,708,726 "," 50,686 "," 5,225,193 "
3,广东省深圳市,深圳市安吉尔实业有限公司," 21,790 "," 2,250,820 "," 15,692 "," 1,603,260 "
3,广东省深圳市,深圳市诚德来实业有限公司," 6,800 "," 930,274 ", 563 ," -100,000 "
3,广东省深圳市,深圳市家乐士净水科技有限公司," 4,092 "," 859,320 ", 50 ," -3,300 "
3,广东省深圳市,深圳市金利源净水设备有限公司," 8,003 "," 792,847 "," 4,900 "," 483,800 "
3,广东省深圳市,深圳市陶氏水处理设备技术开发有限公司," 6,097 "," 730,054 "," 1,006 "," 108,666 "
3,广东省深圳市,深圳市超康科技有限公司," 3,432 "," 484,480 "," 2,887 "," 402,930 "
3,广东省深圳市,深圳市金品泉净水设备," 4,036 "," 458,488 "," 2,360 "," 264,280 "
3,广东省深圳市,深圳市碧汇源湾科技有限公司," 2,043 "," 306,840 "," 1,032 "," 149,590 "
3,广东省深圳市,深圳市安吉尔饮水产业集团有限公司," 1,786 "," 215,310 ", 350 ," 42,175 "
3,广东省深圳市,深圳市锦诺科技有限公司," 1,181 "," 141,675 "," 1,481 "," 211,290 "
3,广东省深圳市,深圳市丰一源水处理科技有限公司," 1,344 "," 134,480 ", 505 ," 51,580 "
3,广东省深圳市,深圳市源泉兴科技有限公司, 584 ," 114,355 ",,
3,广东省深圳市,深圳市国赛生物技术有限公司, 570 ," 103,400 ", 530 ," 90,650 "
3,广东省深圳市,深圳市岗松技术开发有限公司, 996 ," 101,760 ", 433 ," 42,110 "
3,广东省深圳市,深圳市克斯达威净水设备有限公司, 650 ," 72,750 ", 853 ," 84,130 "
3,广东省深圳市,深圳市细微科技有限公司, 697 ," 68,414 ", 536 ," 63,352 "
3,广东省深圳市,深圳市荣杰星医疗设备有限公司, 382 ," 63,245 ", 326 ," 53,055 "
3,广东省深圳市,深圳市精诚达科技有限公司, 407 ," 52,080 ",,
3,广东省深圳市,深圳市汇泉兴净水设备有限公司, 301 ," 42,470 ", 288 ," 40,083 "
3,广东省深圳市,深圳安贝康水处理设备技术开发有限公司, 309 ," 42,340 ", 182 ," 24,441 "
3,广东省深圳市,深圳市新福源科技有限公司, 219 ," 26,390 ", 190 ," 23,630 "
3,广东省深圳市,深圳市爱玛特科技有限公司, 200 ," 25,850 ",,
3,广东省深圳市,深圳市汉斯顿净水设备有限公司, 129 ," 25,760 ", 192 ," 53,760 "
3,广东省深圳市,深圳市清山泉环保科技有限公司, 241 ," 25,095 ", 12 ," 1,140 "
3,广东省深圳市,深圳市康宝化工有限公司, 122 ," 22,160 ", 218 ," 43,550 "
3,广东省深圳市,深圳立康源智能环保科技有限公司, 96 ," 20,775 ",,
3,广东省深圳市,深圳力源泉科技有限公司, 140 ," 20,275 ", 6 , 900 
3,广东省深圳市,深圳市丽源纯净水设备有限公司, 148 ," 19,650 ", 120 ," 14,100 "
3,广东省深圳市,深圳市华南高科水处理设备有限公司, 84 ," 17,820 ", 36 ," 8,700 "
3,广东省深圳市,深圳宏达儒科技有限公司, 130 ," 12,860 ",,
3,广东省深圳市,深圳市贺展饮水设备有限公司, 110 ," 11,670 ", 64 ," 6,560 "
3,广东省深圳市,深圳市名诺美业有限公司, 100 ," 11,000 ", 150 ," 15,750 "
3,广东省深圳市,深圳市亿利源水处理设备有限公司, 50 ," 9,550 ", 431 ," 85,495 "
3,广东省深圳市,深圳市欧赛环境设备有限公司, 60 ," 9,300 ",,
3,广东省深圳市,深圳洛科净水设备有限公司, 42 ," 8,255 ", 50 ," 11,685 "
3,广东省深圳市,深圳市秋康宏科技有限公司, 48 ," 7,720 ", 288 ," 36,955 "
3,广东省深圳市,深圳孚诺泰环保科技有限公司, 30 ," 6,600 ", 13 ," 3,310 "
3,广东省深圳市,深圳市华禹净水设备有限公司, 50 ," 6,250 ",,
3,广东省深圳市,深圳市富胜环保科技有限公司, 60 ," 6,060 ",,
3,广东省深圳市,深圳怡立净水设备有限公司, 49 ," 5,710 ",,
3,广东省深圳市,深圳善行者科技有限公司, 50 ," 4,925 ",,
3,广东省深圳市,深圳普门科技有限公司, 39 ," 4,875 ", 20 ," 2,500 "
3,广东省深圳市,深圳奥尼斯环保科技有限公司, 24 ," 4,800 ", 31 ," 4,790 "
3,广东省深圳市,地球村水务（深圳）有限公司, 50 ," 4,750 ",,
3,广东省深圳市,深圳市吗哪水科技有限公司, 16 ," 4,640 ",,
3,广东省深圳市,深圳市伊科赛尔环保科技有限公司, 36 ," 4,530 ",,
3,广东省深圳市,深圳市安吉沃特饮水设备有限公司, 36 ," 4,230 ", 24 ," 2,580 "
3,广东省深圳市,深圳市普罗惠仁医学科技有限公司, 30 ," 4,200 ", 32 ," 4,480 "
3,广东省深圳市,深圳蓝蓝天家用净水配件总汇, 40 ," 4,000 ",,
3,广东省深圳市,深圳市鹏翔汇星水处理技术有限公司, 24 ," 3,900 ",,
3,广东省深圳市,深圳市普康电子有限公司, 23 ," 3,680 ", 176 ," 28,280 "
3,广东省深圳市,深圳市建树科技有限公司, 25 ," 3,375 ", 30 ," 4,050 "
3,广东省深圳市,深圳美佳源环保, 15 ," 3,350 ", 52 ," 8,200 "
3,广东省深圳市,深圳市怡盛源净水产业有限公司, 26 ," 3,160 ", 3 , 570 
3,广东省深圳市,深圳市海格立机电设备有限公司, 24 ," 3,000 ", 60 ," 7,500 "
3,广东省深圳市,深圳市宏力机电, 24 ," 2,970 ", 12 ," 1,455 "
3,广东省深圳市,深圳 张先生, 15 ," 2,945 ",,
